City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,78.98,clear sky,-23.1203,-134.9692,People ThankYou
12,Fuerte Olimpo,PY,79.47,few clouds,-21.0415,-57.8738,Hospedaje DAMI
14,Esperance,AU,83.8,clear sky,-33.8667,121.9,Hospitality Esperance
17,Atuona,PF,78.78,few clouds,-9.8,-139.0333,Villa Enata
29,Sambava,MG,77.5,overcast clouds,-14.2667,50.1667,Melrose
33,Tubuala,PA,77.32,clear sky,9.5167,-79.0333,Río Nabagana
43,Buala,SB,84.16,light rain,-8.145,159.5921,Maringe Lagoon Lodge
59,Saint-Philippe,RE,87.39,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
60,Kapaa,US,75.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
65,Buluang,PH,82.29,overcast clouds,13.3068,123.3425,Enon Beach Resort
66,Samarai,PG,84.54,overcast clouds,-10.6167,150.6667,Nuli Sapi
67,Arraial Do Cabo,BR,75.49,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
72,The Valley,AI,75.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
78,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
81,Labuhan,ID,84.9,scattered clouds,-6.8844,112.2051,DoubleFAG
84,Cairns,AU,84.29,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
89,Bangalore,IN,80.85,haze,12.9762,77.6033,The Chancery Hotel
91,Poum,NC,81.48,overcast clouds,-20.2333,164.0167,
95,Angoram,PG,85.86,overcast clouds,-4.0625,144.0661,
97,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti Beach Resort
101,Butaritari,KI,82.78,light rain,3.0707,172.7902,Isles Sunset Lodge
110,Georgetown,MY,89.89,scattered clouds,5.4112,100.3354,Cititel Penang
111,Lucea,JM,76.86,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
117,Luganville,VU,80.29,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
124,Cayenne,GF,80.1,light rain,4.9333,-52.3333,Hôtel Le Dronmi
125,Ahuimanu,US,76.71,clear sky,21.4447,-157.8378,Paradise Bay Resort
128,Mana,GF,75.74,overcast clouds,5.6592,-53.7767,LE SAMANA
130,Santa Cruz Cabralia,BR,79.03,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
133,Morondava,MG,82.35,overcast clouds,-20.2833,44.2833,La Case Bambou
138,Bambanglipuro,ID,85.66,broken clouds,-7.95,110.2833,Puri Brata
141,Koungou,YT,85.71,broken clouds,-12.7336,45.2042,Villa Netibor
145,Saint-Pierre,RE,87.48,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
