City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,78.98,69,5,7.52,clear sky
1,Punta Arenas,CL,-53.15,-70.9167,44.71,70,0,8.05,clear sky
2,Hilo,US,19.7297,-155.09,73.8,90,0,0.0,clear sky
3,Kahramanmaras,TR,38.0,37.0,21.83,100,97,4.03,overcast clouds
4,Ketchikan,US,55.3422,-131.6461,45.07,70,40,9.22,scattered clouds
5,Mataura,NZ,-46.1927,168.8643,60.48,43,10,6.64,clear sky
6,Lata,PT,40.1629,-8.3327,41.92,96,79,2.75,broken clouds
7,Upernavik,GL,72.7868,-56.1549,-1.71,95,100,11.5,overcast clouds
8,Petrovsk,RU,52.3064,45.3917,9.66,98,96,6.55,overcast clouds
9,Derzhavinsk,KZ,51.1,66.3167,15.93,75,100,12.97,overcast clouds
10,Los Llanos De Aridane,ES,28.6585,-17.9182,57.13,72,0,8.99,clear sky
11,Busselton,AU,-33.65,115.3333,108.05,33,6,9.42,clear sky
12,Fuerte Olimpo,PY,-21.0415,-57.8738,79.47,65,21,6.15,few clouds
13,Codrington,AU,-38.2667,141.9667,69.3,58,99,20.67,overcast clouds
14,Esperance,AU,-33.8667,121.9,83.8,46,3,16.28,clear sky
15,Hami,CN,42.8,93.45,29.73,25,100,3.24,overcast clouds
16,Marawi,PH,7.9986,124.2928,74.64,53,67,8.01,broken clouds
17,Atuona,PF,-9.8,-139.0333,78.78,77,20,16.4,few clouds
18,Agadez,NE,19.75,10.25,50.22,35,0,9.13,clear sky
19,San Patricio,US,28.017,-97.5169,39.83,77,6,12.33,clear sky
20,Ushuaia,AR,-54.8,-68.3,44.26,87,0,5.75,clear sky
21,Lebu,CL,-37.6167,-73.65,56.95,88,51,17.56,broken clouds
22,Chuy,UY,-33.6971,-53.4616,68.04,94,44,3.76,scattered clouds
23,Coahuayana,MX,18.7333,-103.6833,66.67,79,2,4.18,clear sky
24,Puerto Ayora,EC,-0.7393,-90.3518,74.55,93,46,1.01,scattered clouds
25,Yurino,RU,56.2942,46.3039,20.52,95,100,9.95,snow
26,Husavik,IS,66.0449,-17.3389,15.71,94,98,7.85,overcast clouds
27,Vilyuysk,RU,63.7553,121.6247,-13.63,94,72,2.21,broken clouds
28,Khatanga,RU,71.9667,102.5,-35.09,100,87,2.71,overcast clouds
29,Sambava,MG,-14.2667,50.1667,77.5,77,100,4.23,overcast clouds
30,Castro,BR,-24.7911,-50.0119,64.24,98,79,4.5,broken clouds
31,Nanga Eboko,CM,4.6833,12.3667,59.45,37,13,1.68,few clouds
32,Verkh-Chebula,RU,56.0308,87.6218,18.7,78,100,15.57,overcast clouds
33,Tubuala,PA,9.5167,-79.0333,77.32,82,10,14.27,clear sky
34,Usinsk,RU,65.9939,57.5281,-5.06,100,98,2.75,overcast clouds
35,Cape Town,ZA,-33.9258,18.4232,65.26,69,0,5.75,clear sky
36,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,0,16.11,clear sky
37,Airai,TL,-8.9266,125.4092,68.45,82,95,3.36,overcast clouds
38,Laguna,US,38.421,-121.4238,54.1,73,0,0.0,clear sky
39,Longyearbyen,SJ,78.2186,15.6401,13.84,57,20,27.63,few clouds
40,Lima,PE,-12.0432,-77.0282,68.25,80,0,1.01,clear sky
41,Along,IN,28.1667,94.7667,50.22,98,100,0.94,overcast clouds
42,Ler,SS,8.3018,30.1418,72.45,19,81,8.23,broken clouds
43,Buala,SB,-8.145,159.5921,84.16,77,100,9.26,light rain
44,Naze,JP,28.3667,129.4833,56.32,63,99,17.02,overcast clouds
45,Oranjemund,NA,-28.55,16.4333,63.43,88,38,7.38,scattered clouds
46,Tiksi,RU,71.6872,128.8694,-22.16,98,73,7.45,broken clouds
47,Cherskiy,RU,68.75,161.3,-31.59,97,8,4.18,clear sky
48,Zambezi,ZM,-13.5432,23.1047,62.64,97,89,4.0,overcast clouds
49,New Norfolk,AU,-42.7826,147.0587,70.92,46,85,1.99,overcast clouds
50,Namibe,AO,-15.1961,12.1522,71.19,66,33,5.84,scattered clouds
51,Nioro,GM,13.35,-15.75,71.47,12,0,4.61,clear sky
52,Hermanus,ZA,-34.4187,19.2345,66.79,76,0,18.48,clear sky
53,Qaanaaq,GL,77.484,-69.3632,1.54,71,100,6.29,overcast clouds
54,Albany,US,42.6001,-73.9662,14.76,85,99,3.22,overcast clouds
55,Milton,US,34.1322,-84.3007,35.6,87,72,1.99,broken clouds
56,Bathsheba,BB,13.2167,-59.5167,74.01,68,20,8.05,few clouds
57,Southbridge,US,42.0751,-72.0334,27.37,93,100,11.99,snow
58,Paita,PE,-5.0892,-81.1144,70.83,84,51,10.31,broken clouds
59,Saint-Philippe,RE,-21.3585,55.7679,87.39,89,100,24.61,moderate rain
60,Kapaa,US,22.0752,-159.319,75.52,77,20,5.75,few clouds
61,Chambas,CU,22.1928,-78.9136,73.02,83,0,5.39,light rain
62,Avesta,SE,60.1455,16.1679,30.92,94,64,8.88,broken clouds
63,Thompson,CA,55.7435,-97.8558,-25.44,75,0,2.3,clear sky
