City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2022-02-02 21:45:01,3.0707,172.7902,81.73,79,29,17.83
1,Rio De Janeiro,BR,2022-02-02 21:38:11,-22.9028,-43.2075,79.02,91,100,6.91
2,Kaitangata,NZ,2022-02-02 21:45:01,-46.2817,169.8464,54.36,95,100,4.99
3,Barrow,US,2022-02-02 21:44:08,71.2906,-156.7887,-20.18,69,0,4.61
4,Emborion,GR,2022-02-02 21:45:02,40.4833,21.55,28.76,85,39,4.76
5,Hermanus,ZA,2022-02-02 21:45:02,-34.4187,19.2345,66.9,87,5,11.12
6,Piacabucu,BR,2022-02-02 21:45:03,-10.4056,-36.4344,80.26,75,11,10.49
7,Hilo,US,2022-02-02 21:43:03,19.7297,-155.09,78.12,69,40,6.91
8,Mahebourg,MU,2022-02-02 21:42:30,-20.4081,57.7,79.25,100,75,33.38
9,Ambon,ID,2022-02-02 21:45:03,-3.6954,128.1814,73.54,94,20,3.44
10,Saint-Philippe,RE,2022-02-02 21:45:04,-21.3585,55.7679,80.19,94,100,34.09
11,Puerto Ayora,EC,2022-02-02 21:45:04,-0.7393,-90.3518,82.36,89,37,5.01
12,Saint-Georges,GD,2022-02-02 21:45:04,12.0564,-61.7485,82.08,74,75,20.71
13,Chuy,UY,2022-02-02 21:43:49,-33.6971,-53.4616,74.48,74,0,13.22
14,Tarakan,ID,2022-02-02 21:45:05,3.3,117.6333,76.5,94,75,3.44
15,Severo-Kurilsk,RU,2022-02-02 21:42:55,50.6789,156.125,27.99,79,98,6.62
16,Goderich,CA,2022-02-02 21:43:19,43.7501,-81.7165,28.9,93,100,10.36
17,Bredasdorp,ZA,2022-02-02 21:40:24,-34.5322,20.0403,69.12,73,47,8.05
18,Guerrero Negro,MX,2022-02-02 21:41:19,27.9769,-114.0611,64.27,49,3,13.02
19,Bolitoc,PH,2022-02-02 21:45:06,15.7395,119.8769,75.42,75,7,4.61
20,Busselton,AU,2022-02-02 21:45:06,-33.65,115.3333,66.04,48,100,14.52
21,Almeirim,BR,2022-02-02 21:45:07,-1.5233,-52.5817,79.03,77,58,3.98
22,Albany,US,2022-02-02 21:43:34,42.6001,-73.9662,42.75,74,82,7.52
23,Pangnirtung,CA,2022-02-02 21:42:45,66.1451,-65.7125,6.8,78,100,25.32
24,Geraldton,AU,2022-02-02 21:45:08,-28.7667,114.6,84.61,17,0,19.57
25,Mataura,NZ,2022-02-02 21:41:39,-46.1927,168.8643,57.47,97,100,3.96
26,Cherskiy,RU,2022-02-02 21:42:36,68.75,161.3,-14.87,65,62,0.54
27,Bluff,NZ,2022-02-02 21:42:50,-46.6,168.3333,57.79,66,100,16.69
28,Atuona,PF,2022-02-02 21:42:32,-9.8,-139.0333,77.59,77,92,15.05
29,Avarua,CK,2022-02-02 21:41:44,-21.2078,-159.775,82.45,83,75,18.41
30,Pisco,PE,2022-02-02 21:45:09,-13.7,-76.2167,78.85,57,0,20.71
31,Rikitea,PF,2022-02-02 21:45:09,-23.1203,-134.9692,78.46,73,100,7.78
32,Jamestown,US,2022-02-02 21:38:10,42.097,-79.2353,41.09,40,100,14.97
33,Hasaki,JP,2022-02-02 21:42:38,35.7333,140.8333,25.2,50,36,10.02
34,Gomel,BY,2022-02-02 21:45:10,52.4345,30.9754,28.38,100,100,13.42
35,Alice Springs,AU,2022-02-02 21:43:31,-23.7,133.8833,65.75,88,100,8.05
36,Cape Town,ZA,2022-02-02 21:45:10,-33.9258,18.4232,67.12,90,40,1.99
37,Vaini,TO,2022-02-02 21:45:11,-21.2,-175.2,86.16,70,20,8.05
38,Kapaa,US,2022-02-02 21:45:11,22.0752,-159.319,81.12,64,0,1.99
39,Punta Arenas,CL,2022-02-02 21:45:12,-53.15,-70.9167,48.31,76,75,9.22
40,Mar Del Plata,AR,2022-02-02 21:45:12,-38.0023,-57.5575,84.22,51,0,5.75
41,Rio Cuarto,AR,2022-02-02 21:40:16,-33.1307,-64.3499,74.97,69,100,5.75
42,Umm Kaddadah,SD,2022-02-02 21:45:13,13.6017,26.6876,69.3,20,12,6.33
43,Sawtell,AU,2022-02-02 21:45:14,-30.3833,153.1,73.18,96,75,12.66
44,Nanortalik,GL,2022-02-02 21:43:41,60.1432,-45.2371,6.84,67,29,7.96
